nmc-expenditure,nmc-expenditure alias,nmc-expenditure id,nmc-title,nmc-title alias,nmc-title id,nmc-chapter,nmc-chapter alias,nmc-chapter id,nmc-article,nmc-article alias,nmc-article id,amount,amount catpol,amount year,figure
nmc-expenditure,E,NIV-47483218314141915_47483218314322835@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C4B,nmc-title,2,NIV-47483218314141915_47483218314322886@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N11311,nmc-chapter,2 3,NIV-47483218314141915_47483218314322907@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N11593,nmc-article,2 3 1,NIV-47483218314141915_47483218314322909@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N115C3,amount,5.2.17,nm1,75 000
nmc-expenditure,E,NIV-47483218314141915_47483218314322835@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C4B,nmc-title,2,NIV-47483218314141915_47483218314322886@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N11311,nmc-chapter,2 3,NIV-47483218314141915_47483218314322907@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N11593,nmc-article,2 3 1,NIV-47483218314141915_47483218314322909@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N115C3,amount,5.2.17,nm2,16 864,00
nmc-expenditure,E,NIV-47483218314141915_47483218314322835@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C4B,nmc-title,2,NIV-47483218314141915_47483218314322886@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N11311,nmc-chapter,2 3,NIV-47483218314141915_47483218314322907@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N11593,nmc-article,2 3 2,NIV-47483218314141915_47483218314322910@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N115DF,amount,5.2.17,n,1 035 000
nmc-expenditure,E,NIV-47483218314141915_47483218314322835@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C4B,nmc-title,2,NIV-47483218314141915_47483218314322886@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N11311,nmc-chapter,2 3,NIV-47483218314141915_47483218314322907@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N11593,nmc-article,2 3 2,NIV-47483218314141915_47483218314322910@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N115DF,amount,5.2.17,nm2,1 433 604,29
nmc-expenditure,E,NIV-47483218314141915_47483218314322835@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C4B,nmc-title,2,NIV-47483218314141915_47483218314322886@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N11311,nmc-chapter,2 3,NIV-47483218314141915_47483218314322907@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N11593,nmc-article,2 3 6,NIV-47483218314141915_47483218314322912@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N11638,amount,5.2.17,n,510 000
nmc-expenditure,E,NIV-47483218314141915_47483218314322835@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C4B,nmc-title,2,NIV-47483218314141915_47483218314322886@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N11311,nmc-chapter,2 3,NIV-47483218314141915_47483218314322907@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N11593,nmc-article,2 3 6,NIV-47483218314141915_47483218314322912@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N11638,amount,5.2.17,nm1,357 000
nmc-expenditure,E,NIV-47483218314141915_47483218314322835@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C4B,nmc-title,2,NIV-47483218314141915_47483218314322886@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N11311,nmc-chapter,2 3,NIV-47483218314141915_47483218314322907@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N11593,nmc-article,2 3 6,NIV-47483218314141915_47483218314322912@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N11638,amount,5.2.17,nm2,271 282,65
nmc-expenditure,E,NIV-47483218314141915_47483218314322835@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C4B,nmc-title,2,NIV-47483218314141915_47483218314322886@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N11311,nmc-chapter,2 3,NIV-47483218314141915_47483218314322907@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N11593,nmc-article,2 3 7,NIV-47483218314141915_47483218314322913@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N1165A,amount,5.2.17,n,1 620 000
nmc-expenditure,E,NIV-47483218314141915_47483218314322835@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C4B,nmc-title,2,NIV-47483218314141915_47483218314322886@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N11311,nmc-chapter,2 3,NIV-47483218314141915_47483218314322907@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N11593,nmc-article,2 3 7,NIV-47483218314141915_47483218314322913@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N1165A,amount,5.2.17,nm1,1 100 000
nmc-expenditure,E,NIV-47483218314141915_47483218314322835@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C4B,nmc-title,2,NIV-47483218314141915_47483218314322886@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N11311,nmc-chapter,2 3,NIV-47483218314141915_47483218314322907@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N11593,nmc-article,2 3 7,NIV-47483218314141915_47483218314322913@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N1165A,amount,5.2.17,nm2,760 359,86
