root,course,reg_num,subj,crse,sect,title,units,instructor,days,time,start_time,end_time
root,course,10628,CHIN,321,F,20 Cent Chin Fiction, 1919-49,1.0,Wu,T-Th,time,02:40PM,04:00
root,course,10630,CHIN,326,F,Chinese Narrative Tradition,1.0,Rhew,M-W,time,03:10PM,04:30
root,course,20596,CHIN,334,S,Yijing: Text and Tradition,1.0,Rhew,M-W,time,03:10PM,04:30
root,course,20601,CHIN,341,S,20th Century Chinese Poetry,1.0,Wu,T-Th,time,02:40PM,04:00
root,course,20486,CLAS,363,S,Greek Tragedy,1.0,Englert,M-W-F,time,12:00PM,12:50
root,course,10489,CLAS,373,F,Ancient History: Rome,1.0,Kelly,M-W,time,03:10PM,04:30
root,course,20488,CLAS,374,S,Specl Topics in Roman History,1.0,Kelly,M-W,time,03:10PM,04:30
root,course,20503,CRWR,201,S,Intro to Creative Writing,1.0,Hillis,M-W-F,time,11:00AM,11:50
root,course,10515,CRWR,211,F,Intro Poetry Writing,1.0,Williams,M-W,time,03:10PM,04:30
root,course,20659,ANTH,372,S,Indians  and  Northrn NativeAmers,1.0,Brightman,M-W,time,03:10PM,04:30
root,course,20504,CRWR,211,S,Intro Poetry Writing,1.0,Williams,M-W,time,03:10PM,04:30
root,course,10516,CRWR,221,F,Intro to Fiction Writing,1.0,Hillis,M-W-F,time,11:00AM,11:50
root,course,20642,CRWR,241,S,Intermediate Poetry: StudioII,1.0,Williams,T-Th,time,02:40PM,04:00
root,course,10517,CRWR,250,F,Intro to ScreenwritingWrkshop,1.0,Hillis,W,time,06:10PM,09:00
root,course,10518,CRWR,331,F,Adv Poet Writng: SequentVoice,1.0,Williams,T,time,07:10PM,10:00
root,course,20506,CRWR,331,S,Adv Poet Writing:NaturalVoice,1.0,Williams,M,time,07:10PM,10:00
root,course,10519,CRWR,332,F,Advanced Fiction Writing,1.0,Hillis,T-Th,time,06:10PM,07:30
root,course,20507,CRWR,332,S,Advanced Fiction Writing,1.0,Hillis,T-Th,time,06:10PM,07:30
root,course,10119,DANC,110,Y,Basic Technique,1.0,Mann,M-W,time,04:40PM,06:00
root,course,10121,DANC,210,Y,Technique, Design  and Compostion,1.0,Wong,T-Th,time,01:10PM,02:30
root,course,20672,ANTH,374,S,Urban Anthropology,1.0,Silverstein,T-Th,time,09:00AM,10:20
root,course,20627,DANC,252,S,Improvisation,0.5,Mann,T-Th,time,05:10PM,06:30
root,course,10639,DANC,311,F,Adv Techniques  and  CompositionI,1.0,Mann,T-Th,time,05:10PM,06:30
root,course,20655,DANC,312,S,Adv Technique  and  CompositionII,1.0,Wong,T-Th,time,02:40PM,04:00
root,course,10631,DANC,330,F,Dance Theory and Criticism,1.0,Wong,M-W,time,03:10PM,04:30
root,course,10324,ECON,201,F01,Intro to Economic Analysis,1.0,Clausing,M-W-F,time,10:00AM,10:50
root,course,10325,ECON,201,F02,Intro to Economic Analysis,1.0,Clausing,M-W-F,time,11:00AM,11:50
root,course,10326,ECON,201,FL1,Intro to Economic Analysis,0.0,Clausing,Th,time,03:10PM,04:00
root,course,10327,ECON,201,FL2,Intro to Economic Analysis,0.0,Clausing,Th,time,04:10PM,05:00
root,course,20319,ECON,201,S01,Intro to Economic Analysis,1.0,Netusil,M-W-F,time,10:00AM,10:50
root,course,20320,ECON,201,S02,Intro to Economic Analysis,1.0,Netusil,M-W-F,time,11:00AM,11:50
root,course,10578,ANTH,211,F02,Introduction to Anthropology,1.0,Makley,T-Th,time,01:10PM,02:30
root,course,10583,ANTH,378,F,Nature, Cult  and Envirnmentalism,1.0,Brightman,T,time,07:10PM,10:00
root,course,20321,ECON,201,SL1,Intro to Economic Analysis,0.0,Netusil,Th,time,03:10PM,04:00
root,course,20322,ECON,201,SL2,Intro to Economic Analysis,0.0,Netusil,Th,time,04:10PM,05:00
root,course,10584,ECON,311,F,Survey of Econometric Methods,1.0,Netusil,M-W-F,time,10:00AM,10:50
root,course,20574,ECON,312,S,Theory and  Practice Econometrics,1.0,Parker,M-W-F,time,09:00AM,09:50
root,course,10585,ECON,313,F,Microeconomic Theory,1.0,Despins,M-W-F,time,09:00AM,09:50
root,course,20576,ECON,314,S,Macroeconomic Theory,1.0,Parker,M-W-F,time,11:00AM,11:50
root,course,20580,ECON,331,S,History of Economic Thought,1.0,Clausing,M-W-F,time,01:10PM,02:00
root,course,10587,ECON,341,F,Monetary and Fiscal Policy,1.0,Parker,T-Th,time,01:10PM,02:30
root,course,10589,ECON,342,F,International Macroeconomics,1.0,Clausing,M-W-F,time,01:10PM,02:00
root,course,20585,ECON,348,S,Economics of the PublicSector,1.0,Netusil,M-W-F,time,02:10PM,03:00
root,course,10586,ANTH,392,F01,Structuralism and Semiotics,1.0,Stasch,T-Th,time,01:10PM,02:30
root,course,10590,ECON,351,F,Environment  and  Nat Resrce Econ,1.0,Netusil,M-W-F,time,02:10PM,03:00
root,course,10591,ECON,382,F,Economics of Development,1.0,Despins,M-W-F,time,11:00AM,11:50
root,course,20582,ECON,383,S,International Trade,1.0,Clausing,M-W-F,time,10:00AM,10:50
root,course,10592,ECON,401,F,Seminar: Unemployment,0.5,Parker,M-W-F,time,12:00PM,12:50
root,course,20602,ECON,413,S,Economics  and  Game Theory,1.0,Despins,T-Th,time,09:00AM,10:20
root,course,20592,ECON,442,S,Econ Envirn, Intl Trade,Devel,1.0,Despins,T-Th,time,10:30AM,11:50
root,course,10597,ECON,454,F,Economic Growth,1.0,Parker,M-W-F,time,10:00AM,10:50
root,course,10503,ENG,201,F01,Intro Narr:Native AmericanLit,1.0,Arnold,M-W,time,03:10PM,04:30
